ag03
1.000000000000000000e+00 4.647000000000000089e-03
9.483700000000000463e-01 5.886999999999999872e-03
9.357539999999999747e-01 7.139999999999999646e-03
9.231230000000000269e-01 8.396999999999999950e-03
9.104870000000000463e-01 9.655999999999999653e-03
8.978549999999999587e-01 1.091300000000000082e-02
8.852299999999999613e-01 1.216599999999999973e-02
8.726120000000000543e-01 1.341099999999999931e-02
8.599999999999999867e-01 1.464700000000000030e-02
8.473910000000000053e-01 1.587399999999999922e-02
8.347860000000000280e-01 1.708900000000000002e-02
8.221810000000000507e-01 1.829199999999999923e-02
8.095769999999999911e-01 1.948300000000000032e-02
7.969739999999999602e-01 2.066000000000000128e-02
7.843679999999999541e-01 2.182399999999999965e-02
7.717610000000000303e-01 2.297499999999999890e-02
7.591539999999999955e-01 2.411299999999999902e-02
7.465429999999999566e-01 2.523800000000000002e-02
7.339290000000000536e-01 2.634999999999999842e-02
7.213140000000000107e-01 2.745099999999999971e-02
7.086989999999999679e-01 2.853899999999999840e-02
6.960830000000000073e-01 2.961499999999999896e-02
6.834689999999999932e-01 3.067699999999999941e-02
6.708570000000000366e-01 3.172500000000000320e-02
6.582470000000000265e-01 3.275800000000000239e-02
6.456380000000000452e-01 3.377399999999999847e-02
6.330320000000000391e-01 3.477500000000000036e-02
6.204290000000000083e-01 3.575600000000000306e-02
6.078270000000000062e-01 3.672000000000000264e-02
5.952279999999999793e-01 3.766400000000000303e-02
5.826320000000000388e-01 3.858600000000000224e-02
5.700389999999999624e-01 3.948800000000000227e-02
5.574489999999999723e-01 4.036499999999999810e-02
5.448619999999999575e-01 4.121799999999999770e-02
5.322770000000000001e-01 4.204399999999999804e-02
5.196960000000000468e-01 4.284400000000000014e-02
5.071170000000000400e-01 4.361500000000000099e-02
4.945419999999999816e-01 4.435700000000000059e-02
4.819700000000000095e-01 4.506999999999999895e-02
4.693990000000000107e-01 4.574799999999999700e-02
4.568320000000000158e-01 4.639399999999999774e-02
4.442679999999999962e-01 4.700499999999999817e-02
4.317050000000000054e-01 4.758099999999999830e-02
4.191460000000000186e-01 4.812099999999999711e-02
4.065900000000000070e-01 4.862299999999999955e-02
3.940379999999999994e-01 4.908499999999999669e-02
3.814910000000000245e-01 4.950600000000000139e-02
3.689490000000000269e-01 4.988599999999999979e-02
3.564129999999999798e-01 5.022100000000000175e-02
3.438860000000000250e-01 5.050899999999999834e-02
3.313659999999999939e-01 5.075099999999999750e-02
3.188570000000000015e-01 5.093999999999999917e-02
3.063580000000000192e-01 5.107500000000000234e-02
2.938729999999999953e-01 5.115399999999999808e-02
2.814010000000000122e-01 5.117300000000000321e-02
2.689460000000000184e-01 5.112799999999999984e-02
2.565109999999999890e-01 5.101499999999999785e-02
2.440960000000000074e-01 5.083000000000000018e-02
2.317059999999999953e-01 5.056700000000000084e-02
2.193450000000000122e-01 5.022100000000000175e-02
2.070140000000000036e-01 4.978799999999999892e-02
1.947220000000000062e-01 4.925700000000000217e-02
1.824729999999999963e-01 4.862400000000000055e-02
1.702750000000000097e-01 4.787899999999999795e-02
1.581349999999999978e-01 4.701400000000000023e-02
1.460650000000000004e-01 4.601600000000000135e-02
1.340770000000000017e-01 4.487499999999999822e-02
1.221880000000000049e-01 4.357599999999999668e-02
1.104149999999999993e-01 4.210699999999999860e-02
9.878699999999999981e-02 4.044699999999999684e-02
8.733299999999999397e-02 3.858199999999999824e-02
7.609899999999999998e-02 3.649000000000000160e-02
6.514100000000000446e-02 3.414799999999999780e-02
5.454300000000000120e-02 3.154599999999999765e-02
4.443799999999999834e-02 2.867899999999999963e-02
3.505400000000000182e-02 2.557999999999999857e-02
2.672599999999999976e-02 2.234099999999999975e-02
1.979600000000000110e-02 1.913199999999999970e-02
1.439900000000000034e-02 1.615300000000000069e-02
1.037599999999999981e-02 1.351800000000000050e-02
7.409999999999999920e-03 1.122800000000000013e-02
5.217000000000000283e-03 9.239000000000000684e-03
3.583999999999999946e-03 7.497000000000000192e-03
2.364000000000000216e-03 5.956999999999999622e-03
1.461000000000000059e-03 4.585999999999999799e-03
8.040000000000000271e-04 3.347999999999999848e-03
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.038000000000000077e-03
0.000000000000000000e+00 -1.440000000000000036e-04
2.950000000000000148e-04 -1.237000000000000035e-03
1.304000000000000038e-03 -2.344999999999999862e-03
2.831999999999999882e-03 -3.392000000000000050e-03
5.146000000000000400e-03 -4.550000000000000225e-03
8.148000000000000728e-03 -5.700000000000000205e-03
1.206800000000000060e-02 -6.869000000000000106e-03
1.730900000000000147e-02 -8.078000000000000111e-03
2.414200000000000026e-02 -9.277999999999999789e-03
3.277200000000000252e-02 -1.039600000000000073e-02
4.295600000000000113e-02 -1.134399999999999992e-02
5.378000000000000141e-02 -1.204599999999999942e-02
6.507100000000000384e-02 -1.254399999999999959e-02
7.671400000000000441e-02 -1.288000000000000082e-02
8.859999999999999820e-02 -1.307600000000000082e-02
1.006610000000000005e-01 -1.316200000000000009e-02
1.128510000000000069e-01 -1.316299999999999935e-02
1.251329999999999942e-01 -1.310099999999999980e-02
1.374829999999999941e-01 -1.299100000000000081e-02
1.498879999999999935e-01 -1.285200000000000058e-02
1.623390000000000111e-01 -1.269900000000000022e-02
1.748309999999999864e-01 -1.253300000000000074e-02
1.873620000000000008e-01 -1.235799999999999919e-02
1.999289999999999956e-01 -1.217500000000000006e-02
2.125269999999999937e-01 -1.199300000000000019e-02
2.251549999999999940e-01 -1.180900000000000005e-02
2.378029999999999866e-01 -1.162499999999999992e-02
